2024-08-29 14:17:48,104 Total fires detected: 0, Current fire count: 0, Max fire box: None, Avg confidence: 0.00, Center position: None
2024-08-29 14:17:48,222 Total fires detected: 0, Current fire count: 0, Max fire box: None, Avg confidence: 0.00, Center position: None
2024-08-29 14:17:49,260 Total fires detected: 2, Current fire count: 2, Max fire box: (458, 4, 1159, 652), Avg confidence: 0.58, Center position: (710, 350)
2024-08-29 14:18:22,773 Total fires detected: 9, Current fire count: 3, Max fire box: (308, 0, 835, 303), Avg confidence: 0.00, Center position: (645, 344)
2024-08-29 14:18:23,823 Total fires detected: 9, Current fire count: 3, Max fire box: (308, 0, 835, 303), Avg confidence: 0.00, Center position: (645, 344)
2024-08-29 14:18:24,850 Total fires detected: 9, Current fire count: 3, Max fire box: (212, 185, 629, 400), Avg confidence: 0.34, Center position: (582, 224)
2024-08-29 14:18:25,888 Total fires detected: 10, Current fire count: 4, Max fire box: (152, 21, 782, 346), Avg confidence: 0.50, Center position: (579, 262)
2024-08-29 14:18:26,919 Total fires detected: 13, Current fire count: 7, Max fire box: (287, 0, 720, 488), Avg confidence: 0.48, Center position: (525, 353)
2024-08-29 14:18:27,940 Total fires detected: 14, Current fire count: 8, Max fire box: (305, 0, 714, 506), Avg confidence: 0.39, Center position: (536, 385)
2024-08-29 14:18:28,973 Total fires detected: 14, Current fire count: 8, Max fire box: (317, 1, 690, 497), Avg confidence: 0.33, Center position: (537, 384)
2024-08-29 14:18:29,990 Total fires detected: 15, Current fire count: 9, Max fire box: (315, 1, 732, 517), Avg confidence: 0.33, Center position: (576, 421)
2024-08-29 14:18:31,011 Total fires detected: 15, Current fire count: 9, Max fire box: (311, 1, 714, 510), Avg confidence: 0.29, Center position: (595, 420)
2024-08-29 14:18:32,033 Total fires detected: 15, Current fire count: 4, Max fire box: (299, 0, 696, 518), Avg confidence: 0.40, Center position: (628, 514)
2024-08-29 14:18:33,045 Total fires detected: 15, Current fire count: 3, Max fire box: (299, 0, 685, 500), Avg confidence: 0.00, Center position: (635, 482)
2024-08-29 14:18:34,075 Total fires detected: 15, Current fire count: 3, Max fire box: (299, 0, 685, 500), Avg confidence: 0.00, Center position: (635, 482)
2024-08-29 14:18:35,088 Total fires detected: 15, Current fire count: 3, Max fire box: (299, 0, 685, 500), Avg confidence: 0.00, Center position: (635, 482)
2024-08-29 14:18:36,099 Total fires detected: 15, Current fire count: 2, Max fire box: (299, 0, 685, 500), Avg confidence: 0.00, Center position: (417, 372)
2024-08-29 14:18:37,157 Total fires detected: 15, Current fire count: 2, Max fire box: (299, 0, 685, 500), Avg confidence: 0.00, Center position: (417, 372)
2024-08-29 14:18:38,206 Total fires detected: 15, Current fire count: 0, Max fire box: None, Avg confidence: 0.00, Center position: None
2024-08-29 14:18:39,228 Total fires detected: 16, Current fire count: 1, Max fire box: (56, 318, 144, 388), Avg confidence: 0.00, Center position: (100, 353)
2024-08-29 14:18:40,233 Total fires detected: 17, Current fire count: 2, Max fire box: (20, 0, 593, 326), Avg confidence: 0.00, Center position: (203, 258)
2024-08-29 14:18:41,255 Total fires detected: 17, Current fire count: 2, Max fire box: (20, 0, 593, 326), Avg confidence: 0.50, Center position: (207, 270)
2024-08-29 14:18:42,271 Total fires detected: 17, Current fire count: 2, Max fire box: (20, 0, 593, 326), Avg confidence: 0.00, Center position: (218, 308)
2024-08-29 14:18:43,284 Total fires detected: 18, Current fire count: 3, Max fire box: (85, 0, 647, 450), Avg confidence: 0.00, Center position: (369, 435)
2024-08-29 14:18:44,291 Total fires detected: 18, Current fire count: 3, Max fire box: (85, 0, 647, 450), Avg confidence: 0.27, Center position: (383, 434)
2024-08-29 14:18:45,336 Total fires detected: 18, Current fire count: 3, Max fire box: (85, 0, 647, 450), Avg confidence: 0.35, Center position: (390, 423)
2024-08-29 14:18:46,370 Total fires detected: 18, Current fire count: 3, Max fire box: (85, 0, 647, 450), Avg confidence: 0.57, Center position: (380, 429)
2024-08-29 14:18:47,380 Total fires detected: 19, Current fire count: 3, Max fire box: (245, 2, 1280, 457), Avg confidence: 0.40, Center position: (513, 423)
2024-08-29 14:18:48,399 Total fires detected: 23, Current fire count: 3, Max fire box: (1109, 4, 1270, 302), Avg confidence: 0.45, Center position: (637, 411)
2024-08-29 14:18:49,439 Total fires detected: 41, Current fire count: 3, Max fire box: (1088, 1, 1263, 220), Avg confidence: 0.00, Center position: (641, 383)
2024-08-29 14:18:50,450 Total fires detected: 41, Current fire count: 3, Max fire box: (1088, 1, 1263, 220), Avg confidence: 0.00, Center position: (641, 383)
2024-08-29 14:18:51,476 Total fires detected: 42, Current fire count: 3, Max fire box: (136, 170, 621, 537), Avg confidence: 0.54, Center position: (415, 377)
2024-08-29 14:41:11,392 Total fires detected: 0, Current fire count: 0, Max fire box: None, Avg confidence: 0.00, Center position: None
2024-08-29 14:41:11,521 Total fires detected: 0, Current fire count: 0, Max fire box: None, Avg confidence: 0.00, Center position: None
2024-08-29 14:41:12,503 Total fires detected: 1, Current fire count: 1, Max fire box: (46, 103, 62, 119), Avg confidence: 0.00, Center position: (54, 111)
2024-08-29 14:41:13,631 Total fires detected: 1, Current fire count: 1, Max fire box: (51, 117, 69, 130), Avg confidence: 0.00, Center position: (60, 123)
2024-08-29 14:41:14,636 Total fires detected: 1, Current fire count: 1, Max fire box: (60, 80, 75, 91), Avg confidence: 0.00, Center position: (67, 85)
2024-08-29 14:41:15,662 Total fires detected: 1, Current fire count: 1, Max fire box: (60, 80, 75, 91), Avg confidence: 0.00, Center position: (67, 85)
2024-08-29 14:41:16,715 Total fires detected: 1, Current fire count: 1, Max fire box: (60, 80, 75, 91), Avg confidence: 0.00, Center position: (67, 85)
2024-08-29 14:41:17,743 Total fires detected: 1, Current fire count: 1, Max fire box: (11, 63, 44, 90), Avg confidence: 0.31, Center position: (27, 76)
2024-08-29 14:41:18,756 Total fires detected: 1, Current fire count: 1, Max fire box: (14, 63, 51, 90), Avg confidence: 0.00, Center position: (32, 76)
2024-08-29 14:41:19,816 Total fires detected: 1, Current fire count: 1, Max fire box: (14, 63, 51, 90), Avg confidence: 0.00, Center position: (32, 76)
2024-08-29 14:41:20,819 Total fires detected: 1, Current fire count: 1, Max fire box: (14, 63, 51, 90), Avg confidence: 0.00, Center position: (32, 76)
2024-08-29 14:41:21,832 Total fires detected: 1, Current fire count: 1, Max fire box: (39, 70, 83, 118), Avg confidence: 0.00, Center position: (61, 94)
2024-08-29 14:41:22,871 Total fires detected: 1, Current fire count: 1, Max fire box: (39, 70, 83, 118), Avg confidence: 0.00, Center position: (61, 94)
2024-08-29 14:41:23,914 Total fires detected: 1, Current fire count: 1, Max fire box: (110, 103, 119, 115), Avg confidence: 0.00, Center position: (114, 109)
2024-08-29 14:41:24,921 Total fires detected: 1, Current fire count: 1, Max fire box: (110, 103, 119, 115), Avg confidence: 0.00, Center position: (114, 109)
2024-08-29 14:49:18,449 Total fires detected: 0, Current fire count: 0, Max fire box: None, Avg confidence: 0.00, Center position: None
2024-08-29 14:49:18,638 Total fires detected: 0, Current fire count: 0, Max fire box: None, Avg confidence: 0.00, Center position: None
2024-08-29 14:49:19,674 Total fires detected: 0, Current fire count: 0, Max fire box: None, Avg confidence: 0.00, Center position: None
2024-08-29 14:49:20,686 Total fires detected: 0, Current fire count: 0, Max fire box: None, Avg confidence: 0.00, Center position: None
2024-08-29 14:49:22,701 Total fires detected: 0, Current fire count: 0, Max fire box: None, Avg confidence: 0.00, Center position: None
2024-08-29 14:49:23,766 Total fires detected: 0, Current fire count: 0, Max fire box: None, Avg confidence: 0.00, Center position: None
2024-08-29 14:49:24,840 Total fires detected: 1, Current fire count: 1, Max fire box: (1, 306, 355, 359), Avg confidence: 0.38, Center position: (178, 332)
2024-08-29 14:49:25,902 Total fires detected: 1, Current fire count: 1, Max fire box: (4, 284, 348, 359), Avg confidence: 0.36, Center position: (176, 321)
2024-08-29 14:49:26,918 Total fires detected: 1, Current fire count: 1, Max fire box: (144, 112, 184, 233), Avg confidence: 0.40, Center position: (164, 172)
2024-08-29 14:49:27,983 Total fires detected: 2, Current fire count: 2, Max fire box: (274, 62, 321, 99), Avg confidence: 0.00, Center position: (297, 80)
2024-08-29 14:49:29,006 Total fires detected: 2, Current fire count: 2, Max fire box: (274, 63, 321, 99), Avg confidence: 0.41, Center position: (302, 81)
2024-08-29 14:49:30,018 Total fires detected: 2, Current fire count: 2, Max fire box: (287, 82, 333, 119), Avg confidence: 0.29, Center position: (303, 90)
2024-08-29 14:49:31,097 Total fires detected: 3, Current fire count: 3, Max fire box: (274, 63, 321, 99), Avg confidence: 0.00, Center position: (221, 135)
2024-08-29 14:49:32,136 Total fires detected: 3, Current fire count: 3, Max fire box: (274, 63, 321, 99), Avg confidence: 0.00, Center position: (223, 137)
2024-08-29 14:49:33,154 Total fires detected: 3, Current fire count: 2, Max fire box: (161, 12, 180, 89), Avg confidence: 0.00, Center position: (187, 164)
2024-08-29 14:49:34,235 Total fires detected: 3, Current fire count: 2, Max fire box: (76, 157, 192, 310), Avg confidence: 0.30, Center position: (169, 255)
2024-08-29 14:49:35,300 Total fires detected: 3, Current fire count: 2, Max fire box: (77, 158, 190, 312), Avg confidence: 0.38, Center position: (169, 256)
2024-08-29 14:49:36,353 Total fires detected: 3, Current fire count: 2, Max fire box: (78, 157, 196, 312), Avg confidence: 0.00, Center position: (171, 256)
2024-08-29 14:49:37,371 Total fires detected: 3, Current fire count: 2, Max fire box: (56, 49, 84, 115), Avg confidence: 0.00, Center position: (137, 180)
2024-08-29 14:49:38,408 Total fires detected: 3, Current fire count: 1, Max fire box: (52, 53, 80, 113), Avg confidence: 0.25, Center position: (66, 83)
2024-08-29 14:49:39,438 Total fires detected: 3, Current fire count: 1, Max fire box: (71, 71, 115, 177), Avg confidence: 0.32, Center position: (93, 124)
2024-08-29 14:49:40,504 Total fires detected: 3, Current fire count: 1, Max fire box: (95, 57, 145, 168), Avg confidence: 0.00, Center position: (120, 112)
2024-08-29 14:49:41,516 Total fires detected: 3, Current fire count: 1, Max fire box: (130, 53, 181, 168), Avg confidence: 0.00, Center position: (155, 110)
2024-08-29 14:49:42,573 Total fires detected: 3, Current fire count: 1, Max fire box: (167, 63, 224, 185), Avg confidence: 0.37, Center position: (195, 124)
2024-08-29 14:49:43,614 Total fires detected: 3, Current fire count: 1, Max fire box: (253, 160, 325, 353), Avg confidence: 0.50, Center position: (289, 256)
2024-08-29 14:49:44,626 Total fires detected: 3, Current fire count: 1, Max fire box: (265, 184, 330, 353), Avg confidence: 0.58, Center position: (297, 268)
2024-08-29 14:49:45,658 Total fires detected: 3, Current fire count: 1, Max fire box: (265, 171, 345, 352), Avg confidence: 0.54, Center position: (305, 261)
2024-08-29 14:49:46,695 Total fires detected: 4, Current fire count: 2, Max fire box: (0, 0, 359, 112), Avg confidence: 0.44, Center position: (195, 58)
2024-08-29 14:49:47,719 Total fires detected: 5, Current fire count: 3, Max fire box: (0, 0, 359, 112), Avg confidence: 0.57, Center position: (207, 138)
2024-08-29 14:49:48,791 Total fires detected: 5, Current fire count: 3, Max fire box: (0, 0, 359, 112), Avg confidence: 0.51, Center position: (197, 137)
2024-08-29 14:49:49,795 Total fires detected: 5, Current fire count: 3, Max fire box: (0, 0, 359, 112), Avg confidence: 0.37, Center position: (191, 138)
2024-08-29 14:49:50,825 Total fires detected: 5, Current fire count: 3, Max fire box: (0, 0, 359, 112), Avg confidence: 0.32, Center position: (139, 121)
2024-08-29 14:49:51,896 Total fires detected: 5, Current fire count: 2, Max fire box: (116, 7, 155, 101), Avg confidence: 0.35, Center position: (117, 158)
2024-08-29 14:49:52,915 Total fires detected: 5, Current fire count: 2, Max fire box: (107, 8, 148, 109), Avg confidence: 0.26, Center position: (111, 161)
2024-08-29 14:49:53,987 Total fires detected: 5, Current fire count: 2, Max fire box: (103, 4, 142, 91), Avg confidence: 0.37, Center position: (109, 155)
2024-08-29 14:49:55,062 Total fires detected: 5, Current fire count: 2, Max fire box: (89, 10, 118, 72), Avg confidence: 0.00, Center position: (99, 152)
2024-08-29 14:49:56,123 Total fires detected: 5, Current fire count: 2, Max fire box: (89, 10, 118, 72), Avg confidence: 0.00, Center position: (99, 152)
2024-08-29 14:49:57,148 Total fires detected: 5, Current fire count: 2, Max fire box: (89, 10, 118, 72), Avg confidence: 0.00, Center position: (99, 152)
2024-08-29 14:49:58,204 Total fires detected: 5, Current fire count: 1, Max fire box: (158, 61, 229, 213), Avg confidence: 0.27, Center position: (193, 137)
2024-08-29 14:49:59,280 Total fires detected: 5, Current fire count: 1, Max fire box: (164, 41, 220, 232), Avg confidence: 0.32, Center position: (192, 136)
2024-08-29 14:50:00,317 Total fires detected: 5, Current fire count: 1, Max fire box: (157, 27, 225, 240), Avg confidence: 0.27, Center position: (191, 133)
2024-08-29 14:50:01,356 Total fires detected: 5, Current fire count: 1, Max fire box: (163, 12, 221, 223), Avg confidence: 0.00, Center position: (192, 117)
2024-08-29 14:50:02,362 Total fires detected: 5, Current fire count: 1, Max fire box: (163, 12, 221, 223), Avg confidence: 0.00, Center position: (192, 117)
2024-08-29 14:50:03,403 Total fires detected: 5, Current fire count: 1, Max fire box: (163, 12, 221, 223), Avg confidence: 0.00, Center position: (192, 117)
2024-08-29 14:50:04,463 Total fires detected: 5, Current fire count: 1, Max fire box: (108, 169, 139, 272), Avg confidence: 0.00, Center position: (123, 220)
2024-08-29 14:50:05,502 Total fires detected: 5, Current fire count: 1, Max fire box: (100, 159, 130, 263), Avg confidence: 0.00, Center position: (115, 211)
2024-08-29 14:50:06,545 Total fires detected: 5, Current fire count: 1, Max fire box: (100, 159, 130, 263), Avg confidence: 0.00, Center position: (115, 211)
2024-08-29 14:50:07,575 Total fires detected: 5, Current fire count: 1, Max fire box: (151, 49, 212, 235), Avg confidence: 0.00, Center position: (181, 142)
2024-08-29 14:50:08,601 Total fires detected: 5, Current fire count: 1, Max fire box: (151, 49, 212, 235), Avg confidence: 0.00, Center position: (181, 142)
2024-08-29 14:50:09,647 Total fires detected: 5, Current fire count: 1, Max fire box: (100, 44, 172, 276), Avg confidence: 0.28, Center position: (136, 160)
2024-08-29 14:50:10,687 Total fires detected: 5, Current fire count: 1, Max fire box: (125, 62, 197, 283), Avg confidence: 0.33, Center position: (161, 172)
2024-08-29 14:50:11,723 Total fires detected: 5, Current fire count: 1, Max fire box: (140, 51, 225, 282), Avg confidence: 0.35, Center position: (182, 166)
2024-08-29 14:50:12,733 Total fires detected: 5, Current fire count: 1, Max fire box: (124, 74, 232, 288), Avg confidence: 0.31, Center position: (178, 181)
2024-08-29 14:50:13,808 Total fires detected: 5, Current fire count: 1, Max fire box: (117, 81, 231, 289), Avg confidence: 0.00, Center position: (174, 185)
2024-08-29 14:50:14,878 Total fires detected: 6, Current fire count: 2, Max fire box: (179, 106, 274, 284), Avg confidence: 0.00, Center position: (132, 233)
2024-08-29 14:50:15,918 Total fires detected: 6, Current fire count: 2, Max fire box: (160, 98, 205, 186), Avg confidence: 0.00, Center position: (110, 206)
2024-08-29 14:50:16,999 Total fires detected: 6, Current fire count: 2, Max fire box: (160, 98, 205, 186), Avg confidence: 0.00, Center position: (110, 206)
2024-08-29 14:50:18,064 Total fires detected: 6, Current fire count: 2, Max fire box: (160, 98, 205, 186), Avg confidence: 0.00, Center position: (110, 206)
2024-08-29 14:50:19,148 Total fires detected: 6, Current fire count: 2, Max fire box: (160, 98, 205, 186), Avg confidence: 0.00, Center position: (110, 206)
2024-08-29 14:50:20,143 Total fires detected: 6, Current fire count: 1, Max fire box: (160, 98, 205, 186), Avg confidence: 0.00, Center position: (182, 142)
2024-08-29 14:50:21,220 Total fires detected: 7, Current fire count: 1, Max fire box: (140, 108, 184, 229), Avg confidence: 0.37, Center position: (162, 168)
2024-08-29 14:50:22,296 Total fires detected: 7, Current fire count: 1, Max fire box: (274, 63, 321, 98), Avg confidence: 0.31, Center position: (297, 80)
2024-08-29 14:50:23,352 Total fires detected: 7, Current fire count: 1, Max fire box: (279, 57, 327, 93), Avg confidence: 0.38, Center position: (303, 75)
2024-08-29 14:50:24,428 Total fires detected: 8, Current fire count: 2, Max fire box: (286, 67, 332, 101), Avg confidence: 0.27, Center position: (245, 191)
2024-08-29 14:50:25,446 Total fires detected: 9, Current fire count: 3, Max fire box: (286, 84, 331, 123), Avg confidence: 0.00, Center position: (223, 233)
2024-08-29 14:50:26,501 Total fires detected: 9, Current fire count: 3, Max fire box: (304, 17, 359, 55), Avg confidence: 0.36, Center position: (256, 221)
2024-08-29 14:50:27,551 Total fires detected: 9, Current fire count: 3, Max fire box: (301, 246, 347, 348), Avg confidence: 0.29, Center position: (244, 211)
2024-08-29 14:50:28,575 Total fires detected: 9, Current fire count: 3, Max fire box: (253, 173, 295, 267), Avg confidence: 0.00, Center position: (177, 273)
2024-08-29 14:50:29,663 Total fires detected: 9, Current fire count: 3, Max fire box: (218, 113, 309, 261), Avg confidence: 0.00, Center position: (205, 235)
2024-08-29 14:50:30,698 Total fires detected: 9, Current fire count: 3, Max fire box: (46, 165, 201, 320), Avg confidence: 0.00, Center position: (158, 254)
2024-08-29 14:50:31,742 Total fires detected: 9, Current fire count: 3, Max fire box: (253, 173, 295, 267), Avg confidence: 0.33, Center position: (214, 275)
2024-08-29 14:50:32,821 Total fires detected: 9, Current fire count: 1, Max fire box: (138, 0, 155, 27), Avg confidence: 0.00, Center position: (146, 13)
2024-08-29 14:50:33,882 Total fires detected: 9, Current fire count: 1, Max fire box: (126, 0, 145, 48), Avg confidence: 0.00, Center position: (135, 24)
2024-08-29 14:50:34,916 Total fires detected: 9, Current fire count: 1, Max fire box: (126, 0, 145, 48), Avg confidence: 0.00, Center position: (135, 24)
2024-08-29 14:50:35,947 Total fires detected: 9, Current fire count: 1, Max fire box: (126, 0, 145, 48), Avg confidence: 0.00, Center position: (135, 24)
2024-08-29 14:52:08,792 Total fires detected: 1, Current fire count: 1, Max fire box: (298, 86, 357, 136), Avg confidence: 0.37, Center position: (327, 111)
2024-08-29 14:52:08,953 Total fires detected: 1, Current fire count: 1, Max fire box: (299, 86, 357, 136), Avg confidence: 0.36, Center position: (328, 111)
2024-08-29 14:52:09,975 Total fires detected: 1, Current fire count: 1, Max fire box: (300, 85, 357, 135), Avg confidence: 0.35, Center position: (328, 110)
2024-08-29 14:52:10,989 Total fires detected: 1, Current fire count: 1, Max fire box: (299, 79, 357, 132), Avg confidence: 0.37, Center position: (328, 105)
2024-08-29 14:52:12,031 Total fires detected: 1, Current fire count: 1, Max fire box: (300, 83, 357, 132), Avg confidence: 0.29, Center position: (328, 107)
2024-08-29 14:52:13,085 Total fires detected: 2, Current fire count: 2, Max fire box: (299, 86, 357, 129), Avg confidence: 0.33, Center position: (294, 321)
2024-08-29 14:52:14,397 Total fires detected: 2, Current fire count: 2, Max fire box: (300, 86, 357, 129), Avg confidence: 0.33, Center position: (294, 321)
2024-08-29 14:52:15,463 Total fires detected: 2, Current fire count: 2, Max fire box: (299, 86, 357, 130), Avg confidence: 0.30, Center position: (294, 321)
2024-08-29 14:52:16,480 Total fires detected: 2, Current fire count: 2, Max fire box: (300, 86, 356, 133), Avg confidence: 0.29, Center position: (294, 322)
2024-08-29 14:52:17,488 Total fires detected: 2, Current fire count: 2, Max fire box: (300, 86, 356, 133), Avg confidence: 0.00, Center position: (294, 322)
2024-08-29 14:52:18,550 Total fires detected: 2, Current fire count: 2, Max fire box: (327, 276, 360, 318), Avg confidence: 0.32, Center position: (301, 416)
2024-08-29 14:52:19,567 Total fires detected: 2, Current fire count: 2, Max fire box: (167, 86, 298, 185), Avg confidence: 0.35, Center position: (246, 335)
2024-08-29 14:52:20,576 Total fires detected: 2, Current fire count: 2, Max fire box: (170, 88, 298, 185), Avg confidence: 0.40, Center position: (247, 335)
2024-08-29 14:52:21,611 Total fires detected: 2, Current fire count: 2, Max fire box: (169, 88, 299, 189), Avg confidence: 0.47, Center position: (247, 336)
2024-08-29 14:52:22,641 Total fires detected: 2, Current fire count: 2, Max fire box: (173, 88, 294, 182), Avg confidence: 0.32, Center position: (292, 310)
2024-08-29 14:52:23,646 Total fires detected: 2, Current fire count: 2, Max fire box: (173, 87, 297, 189), Avg confidence: 0.51, Center position: (293, 312)
2024-08-29 14:52:24,654 Total fires detected: 2, Current fire count: 2, Max fire box: (171, 88, 298, 192), Avg confidence: 0.47, Center position: (293, 313)
2024-08-29 14:52:25,709 Total fires detected: 2, Current fire count: 2, Max fire box: (165, 82, 296, 188), Avg confidence: 0.38, Center position: (291, 310)
2024-08-29 14:52:26,720 Total fires detected: 2, Current fire count: 2, Max fire box: (164, 88, 297, 200), Avg confidence: 0.38, Center position: (291, 315)
2024-08-29 14:52:27,761 Total fires detected: 2, Current fire count: 2, Max fire box: (171, 82, 300, 202), Avg confidence: 0.37, Center position: (293, 314)
2024-08-29 14:52:28,815 Total fires detected: 2, Current fire count: 2, Max fire box: (225, 91, 271, 178), Avg confidence: 0.49, Center position: (300, 310)
2024-08-29 14:52:29,839 Total fires detected: 2, Current fire count: 2, Max fire box: (226, 91, 273, 178), Avg confidence: 0.53, Center position: (300, 310)
2024-08-29 14:52:30,873 Total fires detected: 2, Current fire count: 2, Max fire box: (224, 91, 272, 177), Avg confidence: 0.55, Center position: (300, 310)
2024-08-29 14:52:31,893 Total fires detected: 2, Current fire count: 2, Max fire box: (225, 91, 272, 177), Avg confidence: 0.53, Center position: (300, 310)
2024-08-29 14:52:32,916 Total fires detected: 2, Current fire count: 1, Max fire box: (225, 91, 273, 177), Avg confidence: 0.55, Center position: (249, 134)
2024-08-29 14:52:33,939 Total fires detected: 2, Current fire count: 1, Max fire box: (222, 92, 274, 178), Avg confidence: 0.53, Center position: (248, 135)
2024-08-29 14:52:34,981 Total fires detected: 2, Current fire count: 1, Max fire box: (223, 91, 273, 178), Avg confidence: 0.53, Center position: (248, 134)
2024-08-29 14:52:36,028 Total fires detected: 2, Current fire count: 1, Max fire box: (224, 91, 273, 179), Avg confidence: 0.51, Center position: (248, 135)
2024-08-29 14:52:37,048 Total fires detected: 2, Current fire count: 1, Max fire box: (223, 90, 272, 178), Avg confidence: 0.51, Center position: (247, 134)
2024-08-29 14:52:38,072 Total fires detected: 2, Current fire count: 1, Max fire box: (224, 88, 272, 179), Avg confidence: 0.49, Center position: (248, 133)
2024-08-29 14:52:39,112 Total fires detected: 2, Current fire count: 1, Max fire box: (226, 87, 272, 177), Avg confidence: 0.47, Center position: (249, 132)
2024-08-29 14:52:40,126 Total fires detected: 2, Current fire count: 1, Max fire box: (225, 86, 273, 178), Avg confidence: 0.46, Center position: (249, 132)
2024-08-29 14:52:41,130 Total fires detected: 3, Current fire count: 2, Max fire box: (192, 271, 271, 325), Avg confidence: 0.39, Center position: (283, 366)
2024-08-29 14:52:42,132 Total fires detected: 3, Current fire count: 2, Max fire box: (172, 107, 295, 235), Avg confidence: 0.43, Center position: (284, 302)
2024-08-29 14:52:43,179 Total fires detected: 3, Current fire count: 2, Max fire box: (187, 266, 270, 327), Avg confidence: 0.41, Center position: (281, 365)
2024-08-29 14:52:44,183 Total fires detected: 3, Current fire count: 2, Max fire box: (191, 271, 269, 330), Avg confidence: 0.41, Center position: (282, 367)
2024-08-29 14:52:45,239 Total fires detected: 3, Current fire count: 2, Max fire box: (162, 107, 290, 244), Avg confidence: 0.43, Center position: (280, 305)
2024-08-29 14:52:46,286 Total fires detected: 3, Current fire count: 2, Max fire box: (155, 103, 287, 239), Avg confidence: 0.39, Center position: (275, 302)
2024-08-29 14:52:47,286 Total fires detected: 3, Current fire count: 2, Max fire box: (157, 104, 287, 242), Avg confidence: 0.30, Center position: (275, 302)
2024-08-29 14:52:48,307 Total fires detected: 3, Current fire count: 2, Max fire box: (158, 102, 283, 241), Avg confidence: 0.30, Center position: (273, 302)
2024-08-29 14:52:49,345 Total fires detected: 3, Current fire count: 2, Max fire box: (151, 102, 282, 234), Avg confidence: 0.36, Center position: (270, 300)
2024-08-29 14:52:50,379 Total fires detected: 3, Current fire count: 2, Max fire box: (159, 100, 281, 234), Avg confidence: 0.29, Center position: (272, 300)
2024-08-29 14:52:51,391 Total fires detected: 3, Current fire count: 2, Max fire box: (160, 103, 281, 231), Avg confidence: 0.27, Center position: (272, 299)
